route_name,route_link
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
