route_name,route_link
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/dhekiajuli-to-guwahati
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur
North Lakhimpur to Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat
Sibsagar (Assam) to North Lakhimpur,https://www.redbus.in/bus-tickets/sibsagar-to-north-lakhimpur
North Lakhimpur to Sibsagar (Assam),https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati
Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur
Jorhat to Dhemaji,https://www.redbus.in/bus-tickets/jorhat-to-dhemaji
Dhemaji to Jorhat,https://www.redbus.in/bus-tickets/dhemaji-to-jorhat
